id,name,external_id,full_name
132654,"Tondi, Fabio",sr:player:1318094,Fabio Tondi
132655,"Hedberg, Edwin",sr:player:350974,Edwin Hedberg
132656,"Ericsson, Jimmie",sr:player:30007,Jimmie Ericsson
132657,"Wingerli, Andreas",sr:player:907618,Andreas Wingerli
132658,"Lundin, Albin",sr:player:894620,Albin Lundin
132659,"Noren, Patrik",sr:player:132629,Patrik Noren
132660,"Alvarez, Robin",sr:player:89082,Robin Nilsson Alvarez
132661,"Alm, Johan",sr:player:147389,Johan Alm
132662,"Sundsvik, Albin",sr:player:1641978,Albin Sundsvik
132663,"Lindvall, Gustaf",sr:player:132411,Gustaf Lindvall
132664,"Eriksson, Albin",sr:player:1356362,Albin Eriksson
132665,"Jensen, Jesper",sr:player:50864,Jesper Jensen
132666,"Moller, Oscar",sr:player:42411,Oscar Moller
132667,"Olimb, Mathis",sr:player:36508,Mathis Olimb
132668,"Berggren, Jonatan",sr:player:1357522,Jonatan Berggren
132669,"Armalis, Mantas",sr:player:179923,Mantas Armalis
132670,"Lindstrom, Hannes",sr:player:1699345,Hannes Lindstrom
132671,"Djuse, Emil",sr:player:266087,Emil Djuse
132672,"Lindgren, Fredrik",sr:player:29997,Fredrik Lindgren
132673,"Pudas, Jonathan",sr:player:350762,Jonathan Pudas
132674,"Romano, Sergio",sr:player:106010,Sergio Romano
132675,"Scigliano, Marco",sr:player:933030,Marco Scigliano
132676,Josiko,sr:player:1318124,Jose Antonio Garcia Gonzalez
132677,"Guariglia, Mattia",sr:player:1693793,Mattia Guariglia
132678,"Imbimbo, Lorenzo",sr:player:1607590,Lorenzo Imbimbo
132679,"Arrieta, Keviin",sr:player:1607588,Keviin Arrieta
132680,"Bocao, Wesley Machado",sr:player:1360616,Wesley Machado Bocao
132681,"Ferreira, Andre",sr:player:1318146,Andre Ferreira
132682,"Glielmi, Samuele",sr:player:1619596,Samuele Glielmi
132683,"Pasculli, Marco",sr:player:784211,Marco Pasculli
132684,"Frosolone, Nunzio",sr:player:1318104,Nunzio Frosolone
132685,"Tuli, Suleyman Hamadi",sr:player:1655921,Suleyman Hamadi Tuli
132686,"Fornari, Jader",sr:player:357268,Jader Fornari
132687,"Arillo, Attilio",sr:player:357232,Attilio Arillo
132688,"Pedotti, Giovanni",sr:player:263083,Giovanni Pedotti
132689,"Fusella, Pasquale",sr:player:1727124,Pasquale Fusella
132690,"Mastrangelo, Domenico",sr:player:1619598,Domenico Mastrangelo
132691,"Sinno, Andrea",sr:player:1712371,Andrea Sinno
132692,"Nigro, Gabriele",sr:player:1318114,Gabriele Nigro
132693,"Vitale, Gerardo",sr:player:1727126,Gerardo Vitale
132694,"Senatore, Gerardo",sr:player:1727128,Gerardo Senatore
132695,"Di Nome, Angelo",sr:player:1712373,Angelo Di Nome
132696,"Taglianetti, Roberto",sr:player:1634164,Roberto Taglianetti
132697,"Magliano, Pasquale",sr:player:1712375,Pasquale Magliano
132698,"Fortunato, Nicola",sr:player:1649609,Nicola Fortunato
132699,"Giannicola, Luciano",sr:player:1620310,Luciano Giannicola
132700,"Lettieri, Luigi",sr:player:1649611,Luigi Lettieri
132701,"Gambardella, Vittorio",sr:player:1655923,Vittorio Gambardella
132702,"Erevik, Ole",sr:player:895924,Ole Erevik
132703,"Caponigro, Vincenzo",sr:player:1318116,Vincenzo Caponigro
132705,"Rikhardsson, Odinn Thor",sr:player:1280312,Odinn Thor Rikhardsson
132704,"Laion, Sacamon De Freitas",sr:player:1091262,Sacamon De Freitas Laion
132706,"Giordano, Brandon",sr:player:1318102,Brandon Giordano
132707,"Kirkelokke, Niclas Vest",sr:player:1387503,Niclas Vest Kirkelokke
132708,"Mazzella, Marco",sr:player:1634818,Marco Mazzella
132709,"Lindenchrone Andersen, Jon",sr:player:1637682,Jon Lindenchrone Andersen
132710,"Larsen, Kristian",sr:player:1637684,Kristian Larsen
132711,"Laen, Torsten",sr:player:119001,Torsten Laen
132712,"Andersen, Frederik Bo",sr:player:1515707,Frederik Bo Andersen
132713,"Pujol, Josef",sr:player:904824,Josef Pujol
132714,"Mikkelsen, Frank",sr:player:1637686,Frank Mikkelsen
132715,"Cieslak, Jeppe",sr:player:1560304,Jeppe Cieslak
132716,"Jorgensen, Lukas",sr:player:1515763,Lukas Jorgensen
132717,"Laerke, Emil B",sr:player:1637688,Emil B Laerke
132718,"Rughave, Svend",sr:player:1560256,Svend Rughave
132719,"Bergendahl, Oscar",sr:player:904802,Oscar Bergendahl
132720,"Eriksen Hald, Lars",sr:player:1637692,Lars Eriksen Hald
132721,"Gidsel, Mathias",sr:player:1515701,Mathias Gidsel
132722,"Kronborg, Lasse",sr:player:1637698,Lasse Kronborg
132723,"Pytlick, Simon",sr:player:1560268,Simon Pytlick
132724,"Tilsted, Henrik",sr:player:1637704,Henrik Tilsted
132725,"Jakobsen, Emil",sr:player:1637708,Emil Jakobsen
132726,"Hansen, Frederik Elmkjaer",sr:player:1637712,Frederik Elmkjaer Hansen
132727,"Moller, Lasse Kjaer",sr:player:1397085,Lasse Kjaer Moller
132728,"Clausen, Frederik Kiehn",sr:player:1637714,Frederik Kiehn Clausen
132729,"Asmussen, Kristian",sr:player:290121,Kristian Asmussen
132730,"Lindgren, Jesper",sr:player:600774,Jesper Lindgren
132731,"Friman, Niklas",sr:player:266003,Niklas Friman
132732,"Paajanen, Otto",sr:player:179283,Otto Paajanen
132733,"Riska, Filip",sr:player:42676,Filip Riska
132734,"Maansaari, Olli",sr:player:1343594,Olli Maansaari
132735,"Brejcak, Jan",sr:player:179437,Jan Brejcak
132736,"Innala, Jere",sr:player:1085072,Jere Innala
